Bundesland,Wahlberechtigte,Wähler,Gültige Erststimmen,Gültige Zweitstimmen,SPD Erststimmen,SPD Zweitstimmen,FDP Erststimmen,FDP Zweitstimmen,LINKE Erststimmen,LINKE Zweitstimmen,GRÜNE Erststimmen,GRÜNE Zweitstimmen,NPD Erststimmen,NPD Zweitstimmen,PIRATEN Erststimmen,PIRATEN Zweitstimmen,Union Erststimmen,Union Zweitstimmen
Schleswig-Holstein,2234720.0,1644384.0,1604890.0,1609502.0,519995.0,430739.0,170070.0,261767.0,113319.0,127203.0,161626.0,203782.0,17139.0,15848.0,,33277.0,615798.0,518457.0
Mecklenburg-Vorpommern,1400298.0,882176.0,865709.0,867267.0,161414.0,143607.0,61469.0,85203.0,255411.0,251536.0,46826.0,47841.0,29801.0,28223.0,,20063.0,301823.0,287481.0
Hamburg,1256634.0,896053.0,883658.0,886338.0,296589.0,242942.0,69968.0,117143.0,86119.0,99096.0,128440.0,138454.0,9181.0,7679.0,,23168.0,288404.0,246667.0
Niedersachsen,6112110.0,4482349.0,4422903.0,4432611.0,1581443.0,1297940.0,350420.0,588401.0,331141.0,380373.0,370188.0,475742.0,60811.0,53909.0,4214.0,87046.0,1703363.0,1471530.0
Bremen,487978.0,343027.0,337779.0,338611.0,121467.0,102419.0,24437.0,35968.0,42873.0,48369.0,48549.0,52283.0,4626.0,3612.0,,8174.0,92441.0,80964.0
Brandenburg,2128715.0,1425302.0,1381965.0,1387552.0,397016.0,348216.0,99769.0,129642.0,410330.0,395566.0,76546.0,84567.0,46792.0,35396.0,,34832.0,342692.0,327454.0
Sachsen-Anhalt,2028572.0,1226721.0,1200777.0,1202672.0,237189.0,202850.0,94139.0,124247.0,383800.0,389456.0,55547.0,61734.0,30183.0,26584.0,,28780.0,388171.0,362311.0
Berlin,2471665.0,1752839.0,1718759.0,1723405.0,418045.0,348082.0,123780.0,198516.0,355640.0,348661.0,298277.0,299535.0,34488.0,27799.0,,58062.0,452542.0,393180.0
Nordrhein-Westfalen,13288291.0,9493850.0,9366765.0,9389412.0,3286593.0,2678956.0,832146.0,1394554.0,669045.0,789814.0,728745.0,945831.0,112709.0,88690.0,,158585.0,3706284.0,3111478.0
Sachsen,3518195.0,2285953.0,2249678.0,2252359.0,339102.0,328753.0,230005.0,299135.0,543805.0,551461.0,136047.0,151283.0,91451.0,89611.0,,,888018.0,800898.0
Hessen,4398919.0,3244641.0,3172039.0,3177571.0,1026094.0,812721.0,305043.0,527432.0,225775.0,271455.0,287044.0,381948.0,44260.0,35929.0,3866.0,66708.0,1251139.0,1022822.0
Thüringen,1913559.0,1247764.0,1229844.0,1231769.0,255060.0,216593.0,94685.0,120635.0,357428.0,354875.0,63030.0,73838.0,43588.0,39603.0,,31031.0,407357.0,383778.0
Rheinland-Pfalz,3103878.0,2233548.0,2180560.0,2193129.0,640617.0,520990.0,231938.0,364673.0,177323.0,205180.0,174941.0,211971.0,34514.0,26077.0,3188.0,41728.0,903528.0,767487.0
Bayern,9382583.0,6720532.0,6625797.0,6652036.0,1331177.0,1120018.0,700960.0,976379.0,386476.0,429371.0,675888.0,719265.0,111662.0,87591.0,24102.0,135790.0,3191000.0,2830238.0
Baden-Württemberg,7633818.0,5530242.0,5424349.0,5442089.0,1285617.0,1051198.0,645560.0,1022958.0,345551.0,389637.0,694760.0,755648.0,89204.0,61575.0,11400.0,112006.0,2307250.0,1874481.0
Saarland,808554.0,596194.0,582528.0,584867.0,182340.0,144464.0,42107.0,69427.0,107088.0,123880.0,30671.0,39550.0,8033.0,7399.0,,8620.0,207864.0,179289.0
