Bundesland,Wahlberechtigte,Wähler,Gültige Erststimmen,Gültige Zweitstimmen,SPD Erststimmen,SPD Zweitstimmen,FDP Erststimmen,FDP Zweitstimmen,LINKE Erststimmen,LINKE Zweitstimmen,GRÜNE Erststimmen,GRÜNE Zweitstimmen,PIRATEN Erststimmen,PIRATEN Zweitstimmen,NPD Erststimmen,NPD Zweitstimmen,AfD Erststimmen,AfD Zweitstimmen,Union Erststimmen,Union Zweitstimmen
Schleswig-Holstein,2246793.0,1642842.0,1624027.0,1625273.0,595959.0,512934.0,37421.0,91494.0,66096.0,84079.0,111713.0,152847.0,31588.0,32152.0,11017.0,11201.0,58564.0,74175.0,707217.0,637397.0
Hamburg,1281865.0,892124.0,880675.0,881536.0,332844.0,286050.0,17527.0,42539.0,66195.0,77265.0,93073.0,111097.0,21842.0,24184.0,5720.0,5614.0,29501.0,36472.0,303411.0,283453.0
Niedersachsen,6117914.0,4489724.0,4435913.0,4443528.0,1698825.0,1469236.0,82313.0,185604.0,189550.0,223788.0,299718.0,391799.0,60737.0,74595.0,41087.0,37436.0,82386.0,165578.0,1945943.0,1825081.0
Bremen,483830.0,332930.0,328652.0,329218.0,133571.0,117456.0,6382.0,11215.0,28473.0,33122.0,37625.0,39957.0,8800.0,8428.0,3772.0,3593.0,10697.0,12201.0,97171.0,96386.0
Nordrhein-Westfalen,13252599.0,9604402.0,9471064.0,9496174.0,3471909.0,3027863.0,228894.0,498092.0,483837.0,582786.0,606171.0,760215.0,220528.0,209427.0,95709.0,94270.0,171407.0,371567.0,4148381.0,3775865.0
Hessen,4413332.0,3230162.0,3140704.0,3147570.0,1080580.0,907093.0,81768.0,175160.0,166985.0,188622.0,236576.0,313070.0,74126.0,64646.0,38606.0,34107.0,37913.0,176096.0,1399073.0,1232530.0
Rheinland-Pfalz,3092535.0,2252059.0,2201334.0,2214544.0,716135.0,608952.0,63576.0,122647.0,105874.0,120330.0,133196.0,169336.0,55862.0,49720.0,25845.0,23978.0,6311.0,106128.0,1026477.0,958723.0
Baden-Württemberg,7680889.0,5708219.0,5623677.0,5638299.0,1331623.0,1159715.0,164190.0,347893.0,236086.0,272307.0,613896.0,622897.0,113919.0,130662.0,66574.0,56273.0,133509.0,295384.0,2872147.0,2575148.0
Bayern,9453717.0,6633388.0,6570020.0,6579377.0,1443499.0,1313807.0,183209.0,333916.0,225141.0,248802.0,505426.0,552458.0,131865.0,127929.0,59713.0,56725.0,146610.0,282574.0,3543733.0,3243335.0
Saarland,796071.0,577403.0,561923.0,562542.0,199704.0,174581.0,8393.0,21505.0,48976.0,56042.0,21744.0,31998.0,13867.0,14692.0,9230.0,9684.0,24917.0,29287.0,234131.0,212366.0
Berlin,2505692.0,1815281.0,1785281.0,1787386.0,455067.0,439426.0,25893.0,63577.0,333199.0,330481.0,243098.0,220616.0,56850.0,64010.0,30033.0,27033.0,67371.0,87813.0,536229.0,508570.0
Brandenburg,2065917.0,1412787.0,1383639.0,1388325.0,367724.0,321162.0,21263.0,35369.0,330623.0,311322.0,53550.0,65171.0,39468.0,30784.0,46688.0,35570.0,,83013.0,492227.0,482593.0
Mecklenburg-Vorpommern,1348093.0,881289.0,865226.0,867224.0,165630.0,154342.0,11888.0,18965.0,204284.0,186737.0,33208.0,37688.0,19777.0,16558.0,29205.0,23728.0,,48814.0,384367.0,368843.0
Sachsen,3399454.0,2368615.0,2324577.0,2332371.0,375793.0,341278.0,55658.0,71263.0,500261.0,466321.0,103470.0,113917.0,57218.0,58491.0,99537.0,76457.0,,157711.0,1080022.0,994609.0
Sachsen-Anhalt,1930875.0,1196886.0,1175169.0,1177453.0,230528.0,214645.0,20667.0,30968.0,298697.0,281979.0,38883.0,46760.0,25717.0,22726.0,26074.0,25878.0,16656.0,49618.0,490906.0,485079.0
Thüringen,1834327.0,1251541.0,1229343.0,1231654.0,236542.0,198743.0,19280.0,32098.0,298773.0,288594.0,45922.0,60488.0,30782.0,29503.0,46032.0,39113.0,23975.0,75941.0,508067.0,477278.0
